"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350610 Bebedouro";4804;4693;4951;5456;5902;6325;6324;5888;5588;5249;4943;4590;3747;2998;2161;1606;2022;77247
"350620 Bento de Abreu";210;203;197;223;230;226;254;219;215;208;167;137;115;87;68;58;60;2877
"350630 Bernardino de Campos";715;725;705;770;878;849;759;764;749;725;762;618;565;447;389;284;400;11104
"350635 Bertioga";5241;4782;4990;5262;4476;4824;4690;4576;4110;3611;3009;2439;1865;1289;839;512;515;57030
"350640 Bilac";375;397;465;535;568;616;628;583;591;563;514;479;406;310;242;180;233;7685
"350650 Birigui";7406;7502;7423;8173;8886;9531;9996;9640;9269;8823;7836;6708;5473;4104;3076;2095;2440;118381
"350660 Biritiba-Mirim";2517;2333;2473;2595;2528;2567;2471;2228;2167;2008;1848;1421;1233;1048;706;530;498;31171
"350670 Boa Esperança do Sul";1151;1083;1081;1236;1232;1206;1211;1121;968;951;880;700;593;397;299;175;235;14519
"350680 Bocaina";793;785;868;899;938;984;1050;976;816;784;737;574;506;371;245;216;271;11813
"350690 Bofete";832;767;790;829;822;758;752;763;710;744;701;655;577;436;353;224;210;10923
"350700 Boituva";4187;4034;4139;4383;4565;5214;5201;4615;4004;3648;3177;2648;2122;1548;1052;745;764;56046
"350710 Bom Jesus dos Perdões";1767;1669;1825;1921;1900;1960;2066;1798;1694;1502;1385;1150;771;659;466;297;354;23184
"350715 Bom Sucesso de Itararé";378;332;341;375;372;285;284;277;262;235;190;149;121;82;60;43;41;3827
"350720 Borá";56;56;43;60;89;63;92;69;61;50;50;53;33;19;15;11;12;832
"350730 Boracéia";362;364;325;358;392;392;374;316;311;278;265;222;188;174;118;85;105;4629
"350740 Borborema";947;958;1083;1049;1113;1305;1277;1199;1071;1048;1083;922;760;568;427;336;403;15549
"350745 Borebi";205;194;193;209;212;198;173;193;166;177;156;120;121;61;55;34;55;2522
"350750 Botucatu";9440;9278;9548;10154;10525;11608;11990;11175;9692;8899;8569;7712;6446;4897;3538;2593;3539;139603
"350760 Bragança Paulista";10222;10070;10620;12094;12569;13425;13737;13289;11673;10549;10100;9157;7257;5733;3924;2870;3506;160795
"350770 Braúna";371;383;364;396;393;458;461;382;358;343;304;306;256;186;180;144;168;5453
"350775 Brejo Alegre";172;169;202;221;217;221;227;255;198;176;156;154;123;90;84;44;58;2767
"350780 Brodowski";1577;1529;1736;1885;1981;1987;1898;1719;1605;1599;1487;1213;1021;751;572;433;521;23514
"350790 Brotas";1696;1641;1666;1821;1904;1915;1917;1793;1627;1499;1407;1250;966;763;597;414;542;23418
"350800 Buri";1806;1682;1707;1676;1616;1502;1445;1382;1299;1114;1067;915;728;551;410;300;312;19512
"350810 Buritama";1102;1106;974;1096;1239;1315;1311;1224;1247;1176;1141;1007;773;679;475;349;352;16566
"350820 Buritizal";284;278;273;293;327;349;368;330;291;284;279;255;215;182;122;99;111;4340
"350830 Cabrália Paulista";317;309;323;329;392;323;348;305;317;296;251;242;184;149;108;76;86;4355
"350840 Cabreúva";3972;3694;3885;4125;4053;4141;4120;3627;3323;2973;2520;1876;1460;1134;756;445;556;46660
"350850 Caçapava";6448;6328;6277;6772;6993;7439;7847;7276;6603;5998;5660;5001;3988;3142;2169;1435;1700;91076
"350860 Cachoeira Paulista";2262;2225;2227;2306;2450;2611;2722;2548;2202;2059;2085;1849;1473;1145;818;542;733;32257
